매장순위(상품),,,,,,,,,
매장,대분류,중분류,상품코드,바코드,상품명,수량,총매출액,할인액,실매출액
달빛에구운고등어(모현점),주류,주류,000045,,카스,76,"380,000",0,"380,000"
달빛에구운고등어(모현점),주류,주류,000046,,테라,9,"45,000",0,"45,000"
달빛에구운고등어(모현점),주류,주류,000073,,진로,41,"205,000",0,"205,000"
달빛에구운고등어(모현점),주류,주류,000094,,새로,34,"170,000",0,"170,000"
달빛에구운고등어(모현점),주류,주류,000096,,청하,6,"36,000",0,"36,000"
달빛에구운고등어(모현점),주류,주류,000102,,처음처럼,33,"165,000",0,"165,000"
달빛에구운고등어(모현점),주류,주류,000402,,마이산막걸리,51,"204,000",0,"204,000"
달빛에구운고등어(모현점),생선구이,생선구이,000020,,삼치 1마리,188,"3,102,000",0,"3,102,000"
달빛에구운고등어(모현점),생선구이,생선구이,000021,,임연수구이,89,"1,513,000",0,"1,513,000"
달빛에구운고등어(모현점),생선구이,생선구이,000022,,갈치구이,304,"6,384,000",0,"6,384,000"
달빛에구운고등어(모현점),생선구이,생선구이,000039,,보리굴비구이,30,"750,000",0,"750,000"
달빛에구운고등어(모현점),생선구이,생선구이,000153,,뽈락구이,194,"3,298,000",0,"3,298,000"
달빛에구운고등어(모현점),생선구이,생선구이,000419,,고등어 1마리,"1,026","15,903,000",0,"15,903,000"
달빛에구운고등어(모현점),생선구이,생선구이,000420,,고등어 (반),516,"6,450,000",0,"6,450,000"
달빛에구운고등어(모현점),생선구이,생선구이,000421,,삼치 (반),207,"2,587,500",0,"2,587,500"
달빛에구운고등어(모현점),식사류,식사류,000091,,고추장불고기,239,"3,346,000",0,"3,346,000"
달빛에구운고등어(모현점),식사류,식사류,000167,,소뚝불고기,152,"2,356,000",0,"2,356,000"
달빛에구운고등어(모현점),식사류,식사류,000170,,고등어조림,312,"4,368,000",0,"4,368,000"
달빛에구운고등어(모현점),000,000,000134,,리뷰이벤트새우장2미,2,0,0,0
달빛에구운고등어(모현점),000,000,000269,,리뷰이벤트아이스홍시,2,0,0,0
달빛에구운고등어(모현점),000,000,000271,,리뷰이벤트음료,2,0,0,0
달빛에구운고등어(모현점),판매상품,판매상품,000033,,동전꾸이,8,"32,000",0,"32,000"
달빛에구운고등어(모현점),옵션,옵션,000014,,포장비(조림),32,"16,000",0,"16,000"
달빛에구운고등어(모현점),옵션,옵션,000015,,포장비(구이),330,"165,000",0,"165,000"
달빛에구운고등어(모현점),옵션,옵션,000024,,공기밥,358,"358,000",0,"358,000"
달빛에구운고등어(모현점),옵션,옵션,000051,,배달료,0,0,0,0
달빛에구운고등어(모현점),옵션,옵션,000053,,배달료,2,"8,000",0,"8,000"
달빛에구운고등어(모현점),옵션,옵션,000069,,계란말이,1,"2,000",0,"2,000"
달빛에구운고등어(모현점),옵션,옵션,000097,,물,30,0,0,0
달빛에구운고등어(모현점),옵션,옵션,000099,,수저,2,0,0,0
달빛에구운고등어(모현점),옵션,옵션,000100,,냅킨,1,0,0,0
달빛에구운고등어(모현점),옵션,옵션,000101,,직원호출,39,0,0,0
달빛에구운고등어(모현점),옵션,옵션,000155,,아이스홍시,36,"90,000",0,"90,000"
달빛에구운고등어(모현점),옵션,옵션,000182,,잡채,2,"2,000",0,"2,000"
달빛에구운고등어(모현점),옵션,옵션,000272,,백미새우장(6미),33,"165,000",0,"165,000"
달빛에구운고등어(모현점),모듬,모듬,000105,,모듬구이 2인,397,"15,483,000",0,"15,483,000"
